# Generated by SimCore Ground Collision Exporter.
# level=NewMap source_actor=Landscape_0 spacing_cm=100.000
# map_origin_world_cm=0.000,0.000,0.000
# height_discontinuity_filter=disabled_explicit_ground_actor max_delta_cm=100.000
# coordinate_mapping=east:UE_Y/100,north:UE_X/100,up:UE_Z/100
surface_id,e0,n0,u0,e1,n1,u1,e2,n2,u2
landscape_ground,-15.000000,-7.000000,0.000000,-15.000000,-6.000000,0.000000,-14.000000,-6.000000,0.000000
landscape_ground,-15.000000,-7.000000,0.000000,-14.000000,-6.000000,0.000000,-14.000000,-7.000000,0.000000
landscape_ground,-15.000000,-6.000000,0.000000,-15.000000,-5.000000,0.000000,-14.000000,-5.000000,0.000000
landscape_ground,-15.000000,-6.000000,0.000000,-14.000000,-5.000000,0.000000,-14.000000,-6.000000,0.000000
landscape_ground,-15.000000,-5.000000,0.000000,-15.000000,-4.000000,0.000000,-14.000000,-4.000000,0.000000
landscape_ground,-15.000000,-5.000000,0.000000,-14.000000,-4.000000,0.000000,-14.000000,-5.000000,0.000000
landscape_ground,-15.000000,-4.000000,0.000000,-15.000000,-3.000000,0.000000,-14.000000,-3.000000,0.000000
landscape_ground,-15.000000,-4.000000,0.000000,-14.000000,-3.000000,0.000000,-14.000000,-4.000000,0.000000
landscape_ground,-15.000000,-3.000000,0.000000,-15.000000,-2.000000,0.000000,-14.000000,-2.000000,0.000000
landscape_ground,-15.000000,-3.000000,0.000000,-14.000000,-2.000000,0.000000,-14.000000,-3.000000,0.000000
landscape_ground,-15.000000,-2.000000,0.000000,-15.000000,-1.000000,0.000000,-14.000000,-1.000000,0.000000
landscape_ground,-15.000000,-2.000000,0.000000,-14.000000,-1.000000,0.000000,-14.000000,-2.000000,0.000000
landscape_ground,-15.000000,-1.000000,0.000000,-15.000000,0.000000,0.000000,-14.000000,0.000000,0.000000
landscape_ground,-15.000000,-1.000000,0.000000,-14.000000,0.000000,0.000000,-14.000000,-1.000000,0.000000
landscape_ground,-15.000000,0.000000,0.000000,-15.000000,1.000000,0.000000,-14.000000,1.000000,0.000000
landscape_ground,-15.000000,0.000000,0.000000,-14.000000,1.000000,0.000000,-14.000000,0.000000,0.000000
landscape_ground,-15.000000,1.000000,0.000000,-15.000000,2.000000,0.000000,-14.000000,2.000000,0.000000
landscape_ground,-15.000000,1.000000,0.000000,-14.000000,2.000000,0.000000,-14.000000,1.000000,0.000000
landscape_ground,-15.000000,2.000000,0.000000,-15.000000,3.000000,0.000000,-14.000000,3.000000,0.000000
landscape_ground,-15.000000,2.000000,0.000000,-14.000000,3.000000,0.000000,-14.000000,2.000000,0.000000
landscape_ground,-15.000000,3.000000,0.000000,-15.000000,4.000000,0.000000,-14.000000,4.000000,0.000000
landscape_ground,-15.000000,3.000000,0.000000,-14.000000,4.000000,0.000000,-14.000000,3.000000,0.000000
landscape_ground,-15.000000,4.000000,0.000000,-15.000000,5.000000,0.000000,-14.000000,5.000000,0.000000
landscape_ground,-15.000000,4.000000,0.000000,-14.000000,5.000000,0.000000,-14.000000,4.000000,0.000000
landscape_ground,-15.000000,5.000000,0.000000,-15.000000,6.000000,0.000000,-14.000000,6.000000,0.000000
landscape_ground,-15.000000,5.000000,0.000000,-14.000000,6.000000,0.000000,-14.000000,5.000000,0.000000
