# Authoring QA checkpoints only; not a LaneGraph, navigation or traffic implementation.
east_m,north_m,up_m,heading_deg
-80.000000,40.000000,0.000000,90.000000
-78.508621,40.000000,0.000000,90.000000
-77.017241,40.000000,0.000000,90.000000
-75.525862,40.000000,0.000000,90.000000
-74.034483,40.000000,0.000000,90.000000
-72.543103,40.000000,0.000000,90.000000
-71.051724,40.000000,0.000000,90.000000
-69.560345,40.000000,0.000000,90.000000
-68.068966,40.000000,0.000000,90.000000
-66.577586,40.000000,0.000000,90.000000
-65.086207,40.000000,0.000000,90.000000
-63.594828,40.000000,0.000000,90.000000
-62.103448,40.000000,0.000000,90.000000
-60.612069,40.000000,0.000000,90.000000
-59.120690,40.000000,0.000000,90.000000
-57.629310,40.000000,0.000000,90.000000
-56.137931,40.000000,0.000000,90.000000
-54.646552,40.000000,0.000000,90.000000
-53.155172,40.000000,0.000000,90.000000
-51.663793,40.000000,0.000000,90.000000
-50.172414,40.000000,0.000000,90.000000
-48.681034,40.000000,0.000000,90.000000
-47.189655,40.000000,0.000000,90.000000
-45.698276,40.000000,0.000000,90.000000
-44.206897,40.000000,0.000000,90.000000
-42.715517,40.000000,0.000000,90.000000
-41.224138,40.000000,0.000000,90.000000
-39.732759,40.000000,0.000000,90.000000
-38.241379,40.000000,0.000000,90.000000
-36.750000,40.000000,0.000000,90.000000
-35.258621,40.000000,0.000000,90.000000
-33.767241,40.000000,0.000000,90.000000
-32.275862,40.000000,0.000000,90.000000
-30.784483,40.000000,0.000000,90.000000
-29.293103,40.000000,0.000000,90.000000
-27.801724,40.000000,0.000000,90.000000
-26.310345,40.000000,0.000000,90.000000
-24.818966,40.000000,0.000000,90.000000
-23.327586,40.000000,0.000000,90.000000
-21.836207,40.000000,0.000000,90.000000
-20.344828,40.000000,0.000000,90.000000
-18.853448,40.000000,0.000000,90.000000
-17.362069,40.000000,0.000000,90.000000
-15.870690,40.000000,0.000000,90.000000
-14.379310,40.000000,0.000000,90.000000
-12.887931,40.000000,0.000000,90.000000
-11.396552,40.000000,0.000000,90.000000
-9.905172,40.000000,0.000000,90.000000
-8.413793,40.000000,0.000000,90.000000
-6.922414,40.000000,0.000000,90.000000
-5.431034,40.000000,0.000000,90.000000
-3.939655,40.000000,0.000000,90.000000
-2.448276,40.000000,0.000000,90.000000
-0.956897,40.000000,0.000000,90.000000
0.534483,40.000000,0.000000,90.000000
2.025862,40.000000,0.000000,90.000000
3.517241,40.000000,0.000000,90.000000
5.008621,40.000000,0.000000,90.000000
6.500000,40.000000,0.000000,90.000000
7.991379,40.000000,0.000000,90.000000
9.482759,40.000000,0.000000,90.000000
10.974138,40.000000,0.000000,90.000000
12.465517,40.000000,0.000000,90.000000
13.956897,40.000000,0.000000,90.000000
15.448276,40.000000,0.000000,90.000000
16.939655,40.000000,0.000000,90.000000
18.431034,40.000000,0.000000,90.000000
19.922414,40.000000,0.000000,90.000000
21.413793,40.000000,0.000000,90.000000
22.905172,40.000000,0.000000,90.000000
24.396552,40.000000,0.000000,90.000000
25.887931,40.000000,0.000000,90.000000
27.379310,40.000000,0.000000,90.000000
28.870690,40.000000,0.000000,90.000000
30.362069,40.000000,0.000000,90.000000
31.853448,40.000000,0.000000,90.000000
33.344828,40.000000,0.000000,90.000000
34.836207,40.000000,0.000000,90.000000
36.327586,40.000000,0.000000,90.000000
37.818966,40.000000,0.000000,90.000000
39.310345,40.000000,0.000000,90.000000
40.801724,40.000000,0.000000,90.000000
42.293103,40.000000,0.000000,90.000000
43.784483,40.000000,0.000000,90.000000
45.275862,40.000000,0.000000,90.000000
46.767241,40.000000,0.000000,90.000000
48.258621,40.000000,0.000000,90.000000
49.750000,40.000000,0.000000,90.000000
51.241379,40.000000,0.000000,90.000000
52.732759,40.000000,0.000000,90.000000
54.224138,40.000000,0.000000,90.000000
55.715517,40.000000,0.000000,90.000000
57.206897,40.000000,0.000000,90.000000
58.698276,40.000000,0.000000,90.000000
60.189655,40.000000,0.000000,90.000000
61.681034,40.000000,0.000000,90.000000
63.172414,40.000000,0.000000,90.000000
64.663793,40.000000,0.000000,90.000000
66.155172,40.000000,0.000000,90.000000
67.646552,40.000000,0.000000,90.000000
69.137931,40.000000,0.000000,90.000000
70.629310,40.000000,0.000000,90.000000
72.120690,40.000000,0.000000,90.000000
73.612069,40.000000,0.000000,90.000000
